"fecha";"Run Fondo";"serie";"1M";"3M";"6M";"1Y";"ytd"
2023-03-08;"8480";APV;"5.86%";"8.71%";"24.43%";-13.40%;-0.87%
2023-03-09;"8480";APV;"7.57%";"12.60%";"34.36%";-6.33%;"2.67%"
2023-03-10;"8480";APV;"12.23%";"17.08%";"39.71%";-3.53%;"6.77%"
2023-03-11;"8480";APV;"12.23%";"17.09%";"39.73%";-7.18%;"6.78%"
2023-03-12;"8480";APV;"12.23%";"17.09%";"39.73%";-7.20%;"6.78%"
2023-03-13;"8480";APV;"12.23%";"19.65%";"29.03%";-7.20%;"6.78%"
2023-03-14;"8480";APV;"7.18%";"14.10%";"25.59%";-10.86%;"2.57%"
2023-03-15;"8480";APV;"4.75%";"6.19%";"18.76%";-7.77%;-1.70%
2023-03-16;"8480";APV;-5.58%;-1.37%;"10.34%";-11.79%;-8.67%
2023-03-17;"8480";APV;-7.10%;-1.46%;"10.24%";-11.24%;-8.74%
2023-03-18;"8480";APV;-7.10%;-1.45%;"10.26%";-6.49%;-8.73%
2023-03-19;"8480";APV;-7.10%;-1.45%;"10.26%";-6.50%;-8.73%
2023-03-20;"8480";APV;-7.10%;-1.24%;"10.26%";-6.50%;-8.73%
2023-03-21;"8480";APV;-11.12%;-0.92%;"7.74%";-7.74%;-9.95%
2023-03-22;"8480";APV;-7.98%;-3.89%;"8.99%";-3.52%;-6.81%
2023-03-23;"8480";APV;-2.80%;"0.51%";"13.61%";-4.73%;-5.27%
2023-03-24;"8480";APV;-4.16%;-1.98%;"10.80%";-4.37%;-7.60%
2023-03-25;"8480";APV;-4.16%;-1.97%;"10.81%";-4.91%;-7.59%
2023-03-26;"8480";APV;-4.16%;-1.97%;"10.81%";-4.92%;-7.59%
2023-03-27;"8480";APV;-4.16%;-4.05%;"9.06%";-4.92%;-7.59%
2023-03-28;"8480";APV;-1.72%;-8.01%;"13.21%";-2.29%;-5.03%
2023-03-29;"8480";APV;-2.49%;-3.93%;"6.05%";-0.43%;-5.78%
2023-03-30;"8480";APV;-2.82%;-6.09%;"0.57%";"0.11%";-6.09%
2023-03-31;"8480";APV;-5.80%;-8.98%;-2.51%;-6.28%;-8.97%
2023-04-01;"8480";APV;-10.67%;-8.97%;-2.51%;-6.95%;-8.96%
2023-04-02;"8480";APV;-8.69%;-8.97%;-2.51%;-6.96%;-8.96%
2023-04-03;"8480";APV;-6.68%;-8.97%;-2.51%;-6.96%;-8.96%
2023-04-04;"8480";APV;-8.34%;-8.36%;-3.33%;-8.61%;-10.57%
2023-04-05;"8480";APV;-6.80%;-10.13%;"0.42%";-8.97%;-9.06%
2023-04-06;"8480";APV;-8.85%;-9.61%;-3.00%;-11.64%;-11.07%
2023-04-07;"8480";APV;-12.23%;-9.61%;-10.57%;-7.34%;-11.06%
2023-04-08;"8480";APV;-10.27%;-9.61%;-10.58%;-7.85%;-11.06%
2023-04-09;"8480";APV;-13.37%;-9.61%;-10.58%;-7.86%;-11.06%
2023-04-10;"8480";APV;-16.69%;-8.63%;-10.58%;-7.86%;-11.06%
2023-04-11;"8480";APV;-14.16%;-4.65%;-7.85%;-5.05%;-8.34%
2023-04-12;"8480";APV;-11.46%;-1.77%;-5.62%;-6.62%;-5.45%
2023-04-13;"8480";APV;-11.87%;-0.22%;"0.12%";-4.96%;-5.90%
2023-04-14;"8480";APV;-8.45%;-0.45%;-4.50%;-6.52%;-6.10%
2023-04-15;"8480";APV;-4.46%;-0.44%;-4.50%;-6.52%;-6.08%
2023-04-16;"8480";APV;"2.83%";-0.44%;-4.50%;-6.52%;-6.08%
2023-04-17;"8480";APV;"2.91%";"0.03%";-4.50%;-6.52%;-6.08%
2023-04-18;"8480";APV;"3.96%";-3.55%;-0.59%;-5.56%;-5.11%
2023-04-19;"8480";APV;"1.91%";-3.99%;-2.72%;-3.02%;-6.99%
2023-04-20;"8480";APV;"4.04%";"1.51%";-4.19%;-1.09%;-5.04%
2023-04-21;"8480";APV;"4.21%";"0.31%";-0.07%;-5.56%;-6.15%
2023-04-22;"8480";APV;"0.72%";"0.32%";-0.07%;-8.90%;-6.14%
2023-04-23;"8480";APV;-0.92%;"0.32%";-0.07%;-8.91%;-6.14%
2023-04-24;"8480";APV;"1.58%";-2.80%;-0.07%;-8.91%;-6.14%
2023-04-25;"8480";APV;"6.16%";"0.49%";"6.28%";-4.79%;-1.90%
2023-04-26;"8480";APV;"8.21%";"3.54%";"1.12%";-8.98%;"0.00%"
2023-04-27;"8480";APV;"5.18%";"2.34%";-4.73%;-11.17%;-2.80%
2023-04-28;"8480";APV;-0.30%;-0.32%;-5.44%;-6.03%;-5.32%
2023-04-29;"8480";APV;"0.50%";-0.31%;-5.44%;-14.54%;-5.31%
2023-04-30;"8480";APV;"0.84%";-0.31%;-5.44%;-14.56%;-5.31%
2023-05-01;"8480";APV;"4.01%";"3.38%";-5.44%;-14.56%;-5.31%
2023-05-02;"8480";APV;"4.01%";"5.41%";-5.44%;-14.56%;-5.31%
2023-05-03;"8480";APV;"7.39%";"7.77%";-2.35%;-12.68%;-2.23%
2023-05-04;"8480";APV;"11.52%";"9.92%";"0.39%";-4.13%;-0.27%
2023-05-05;"8480";APV;"6.81%";"7.06%";-2.24%;-14.36%;-2.86%
2023-05-06;"8480";APV;"9.24%";"7.07%";-2.22%;-17.17%;-2.85%
2023-05-07;"8480";APV;"9.22%";"8.84%";-2.22%;-17.18%;-2.85%
2023-05-08;"8480";APV;"9.22%";"3.75%";-3.10%;-17.18%;-2.85%
2023-05-09;"8480";APV;"10.37%";"2.85%";-7.22%;-16.32%;-1.84%
2023-05-10;"8480";APV;"9.83%";"2.68%";"5.30%";-15.83%;-2.31%
2023-05-11;"8480";APV;"4.29%";"0.46%";"6.08%";-21.76%;-4.41%
2023-05-12;"8480";APV;"4.27%";"3.62%";"9.40%";-18.51%;-1.41%
2023-05-13;"8480";APV;"4.78%";"3.63%";"9.41%";-13.85%;-1.40%
2023-05-14;"8480";APV;"5.01%";"3.03%";"9.41%";-13.86%;-1.40%
2023-05-15;"8480";APV;"4.99%";"5.07%";"10.34%";-13.86%;-1.40%
2023-05-16;"8480";APV;"2.40%";-0.58%;"7.28%";-15.98%;-3.83%
2023-05-17;"8480";APV;-0.92%;-5.28%;"8.65%";-15.94%;-6.95%
2023-05-18;"8480";APV;-4.73%;-7.99%;"7.87%";-25.42%;-9.60%
2023-05-19;"8480";APV;-2.28%;-7.48%;"8.45%";-26.48%;-9.11%
2023-05-20;"8480";APV;-4.27%;-7.47%;"8.46%";-28.05%;-9.10%
2023-05-21;"8480";APV;-3.13%;-10.28%;"8.46%";-28.06%;-9.10%
2023-05-22;"8480";APV;-3.15%;-10.24%;"9.18%";-28.06%;-9.10%
2023-05-23;"8480";APV;"0.01%";-3.69%;"12.57%";-25.71%;-6.13%
2023-05-24;"8480";APV;-0.54%;-3.17%;"8.89%";-27.75%;-6.65%
2023-05-25;"8480";APV;-10.55%;-8.99%;"2.62%";-30.39%;-12.24%
2023-05-26;"8480";APV;-14.01%;-10.83%;"0.54%";-29.36%;-14.02%
2023-05-27;"8480";APV;-11.53%;-10.82%;"0.55%";-26.24%;-14.01%
2023-05-28;"8480";APV;-9.18%;-11.01%;"0.55%";-26.25%;-14.01%
2023-05-29;"8480";APV;-9.19%;-11.01%;-3.01%;-26.25%;-14.01%
2023-05-30;"8480";APV;-9.83%;-11.64%;"2.44%";-26.77%;-14.61%
2023-05-31;"8480";APV;-9.37%;-11.18%;"2.97%";-27.30%;-14.17%
2023-06-01;"8480";APV;-10.43%;-16.78%;"0.18%";-29.63%;-15.18%
2023-06-02;"8480";APV;-10.16%;-14.67%;-1.22%;-26.32%;-14.92%
2023-06-03;"8480";APV;-12.97%;-12.78%;-1.22%;-29.85%;-14.91%
2023-06-04;"8480";APV;-14.68%;-12.79%;-1.22%;-29.86%;-14.91%
2023-06-05;"8480";APV;-12.40%;-12.79%;-1.22%;-29.86%;-14.91%
2023-06-06;"8480";APV;-12.72%;-13.10%;-5.13%;-30.11%;-15.21%
2023-06-07;"8480";APV;-8.86%;-12.63%;-2.88%;-23.75%;-11.46%
2023-06-08;"8480";APV;-9.92%;-11.71%;-4.02%;-27.81%;-12.48%
2023-06-09;"8480";APV;-10.30%;-14.23%;-3.43%;-30.12%;-11.94%
2023-06-10;"8480";APV;-9.85%;-17.51%;-3.43%;-32.94%;-11.93%
2023-06-11;"8480";APV;-7.87%;-17.53%;-3.43%;-32.95%;-11.93%
2023-06-12;"8480";APV;-10.67%;-17.53%;-3.43%;-32.95%;-11.93%
2023-06-13;"8480";APV;-11.17%;-17.97%;-1.85%;-33.31%;-12.41%
2023-06-14;"8480";APV;-11.90%;-15.30%;-3.36%;-33.76%;-13.13%
2023-06-15;"8480";APV;-12.90%;-12.63%;-7.22%;-32.27%;-14.12%
2023-06-16;"8480";APV;-8.93%;-4.10%;-5.41%;-34.70%;-12.41%
2023-06-17;"8480";APV;-5.86%;-4.01%;-5.41%;-32.96%;-12.40%
2023-06-18;"8480";APV;-3.10%;-4.02%;-5.41%;-32.97%;-12.40%
2023-06-19;"8480";APV;-3.63%;-4.02%;-5.41%;-32.97%;-12.40%
2023-06-20;"8480";APV;-4.26%;-4.64%;-5.82%;-33.40%;-12.97%
2023-06-21;"8480";APV;-4.25%;-3.34%;-4.23%;-33.40%;-12.95%
2023-06-22;"8480";APV;-4.25%;-6.59%;-10.22%;-33.40%;-12.95%
2023-06-23;"8480";APV;-7.02%;-7.86%;-7.39%;-29.23%;-12.72%
2023-06-24;"8480";APV;-6.49%;-5.52%;-7.39%;-21.81%;-12.71%
2023-06-25;"8480";APV;-0.53%;-5.53%;-7.39%;-21.82%;-12.71%
2023-06-26;"8480";APV;"1.53%";-5.53%;-7.39%;-21.82%;-12.71%
2023-06-27;"8480";APV;"1.51%";-5.53%;-9.36%;-21.82%;-12.71%
2023-06-28;"8480";APV;"1.47%";-8.12%;-15.48%;-21.86%;-12.75%
2023-06-29;"8480";APV;"0.11%";-8.63%;-12.22%;-20.03%;-13.91%
2023-06-30;"8480";APV;-1.84%;-10.75%;-16.19%;-21.58%;-16.19%
2023-07-01;"8480";APV;-1.17%;-7.93%;-16.19%;-19.94%;-16.18%
2023-07-02;"8480";APV;-1.47%;-7.93%;-16.19%;-19.95%;-16.18%
2023-07-03;"8480";APV;-1.48%;-7.93%;-16.19%;-19.95%;-16.18%
2023-07-04;"8480";APV;-0.78%;-5.60%;-13.49%;-19.38%;-15.57%
2023-07-05;"8480";APV;-0.62%;-7.01%;-16.43%;-13.35%;-15.44%
2023-07-06;"8480";APV;-0.76%;-5.38%;-14.48%;-7.92%;-15.85%
2023-07-07;"8480";APV;-4.71%;-5.15%;-14.27%;-6.94%;-15.63%
2023-07-08;"8480";APV;-3.58%;-5.13%;-14.25%;-5.96%;-15.62%
2023-07-09;"8480";APV;-4.18%;-5.13%;-14.25%;-5.97%;-15.62%
2023-07-10;"8480";APV;-4.19%;-5.13%;-13.32%;-5.97%;-15.62%
2023-07-11;"8480";APV;-6.06%;-9.73%;-13.93%;-7.80%;-17.27%
2023-07-12;"8480";APV;-7.05%;-13.42%;-14.95%;-7.78%;-18.14%
2023-07-13;"8480";APV;-7.37%;-13.79%;-13.98%;-8.64%;-18.87%
2023-07-14;"8480";APV;-8.39%;-15.25%;-15.63%;-3.99%;-20.42%
2023-07-16;"8480";APV;-9.12%;-15.25%;-15.62%;-10.49%;-20.40%
2023-07-17;"8480";APV;-9.13%;-15.25%;-15.22%;-10.49%;-20.40%
2023-07-18;"8480";APV;-8.79%;-15.80%;-18.79%;-10.15%;-20.11%
2023-07-19;"8480";APV;-7.50%;-12.89%;-16.36%;-5.00%;-18.97%
2023-07-20;"8480";APV;-4.11%;-12.11%;-10.78%;-1.93%;-16.54%
2023-07-21;"8480";APV;-7.16%;-13.89%;-13.62%;-0.35%;-19.19%
2023-07-22;"8480";APV;-7.15%;-13.89%;-13.61%;-2.59%;-19.18%
2023-07-23;"8480";APV;-7.40%;-13.89%;-13.61%;-2.60%;-19.18%
2023-07-24;"8480";APV;-7.42%;-13.89%;-16.30%;-2.60%;-19.18%
2023-07-25;"8480";APV;-8.88%;-18.92%;-18.53%;-4.14%;-20.46%
2023-07-26;"8480";APV;-9.27%;-20.79%;-17.99%;-11.00%;-20.80%
2023-07-27;"8480";APV;-6.75%;-16.25%;-14.29%;-3.01%;-18.59%
2023-07-28;"8480";APV;-9.41%;-16.52%;-16.78%;-3.95%;-20.96%
2023-07-29;"8480";APV;-8.17%;-16.52%;-16.77%;-3.01%;-20.95%
2023-07-30;"8480";APV;-5.68%;-16.52%;-16.77%;-3.03%;-20.95%
2023-07-31;"8480";APV;-5.68%;-16.52%;-15.37%;-3.03%;-20.95%
2023-01-31;"8987";APV1;-12.57%;-19.87%;-5.64%;-6.51%;-12.56%
2023-02-01;"8987";APV1;-14.47%;-21.62%;-7.70%;-7.29%;-14.47%
2023-02-02;"8987";APV1;-17.33%;-24.24%;-12.04%;-8.71%;-17.32%
2023-02-03;"8987";APV1;-15.71%;-24.83%;-6.93%;-11.97%;-15.70%
2023-02-04;"8987";APV1;-14.79%;-22.85%;-6.88%;-10.50%;-15.69%
2023-02-05;"8987";APV1;-16.81%;-22.85%;-7.49%;-10.50%;-15.69%
2023-02-06;"8987";APV1;-13.06%;-22.85%;-7.49%;-10.50%;-15.69%
2023-02-07;"8987";APV1;-15.43%;-24.96%;-10.02%;-12.94%;-17.99%
2023-02-08;"8987";APV1;-13.41%;-22.37%;-7.86%;-9.42%;-16.02%
2023-02-09;"8987";APV1;-11.83%;-24.41%;-6.99%;-5.30%;-14.49%
2023-02-10;"8987";APV1;-10.84%;-15.81%;-3.12%;-9.01%;-14.71%
2023-02-11;"8987";APV1;-8.47%;-14.08%;-3.59%;-12.87%;-14.70%
2023-02-12;"8987";APV1;-7.78%;-14.09%;-0.08%;-12.87%;-14.70%
2023-02-13;"8987";APV1;-6.89%;-14.09%;-0.09%;-12.87%;-14.70%
2023-02-14;"8987";APV1;-6.94%;-14.13%;-0.14%;-12.91%;-14.74%
2023-02-15;"8987";APV1;-7.40%;-13.08%;-0.63%;-10.52%;-15.16%
2023-02-16;"8987";APV1;-4.54%;-11.81%;"2.43%";-7.74%;-12.55%
2023-02-17;"8987";APV1;-4.41%;-11.64%;"1.59%";-11.32%;-12.11%
2023-02-18;"8987";APV1;-7.37%;-11.03%;"1.97%";-12.80%;-12.10%
2023-02-19;"8987";APV1;-8.58%;-11.04%;-0.76%;-12.81%;-12.10%
2023-02-20;"8987";APV1;-4.98%;-11.04%;-0.77%;-12.81%;-12.10%
2023-02-21;"8987";APV1;-1.06%;-7.37%;"3.33%";-9.21%;-8.47%
2023-02-22;"8987";APV1;-0.79%;-4.61%;"3.62%";-10.94%;-8.22%
2023-02-23;"8987";APV1;-1.96%;-4.38%;"1.78%";-15.41%;-9.30%
2023-02-24;"8987";APV1;"0.21%";-2.17%;"4.58%";-10.52%;-7.19%
2023-02-25;"8987";APV1;"0.02%";-2.42%;"7.54%";-6.69%;-7.18%
2023-02-26;"8987";APV1;"2.44%";-2.42%;"0.18%";-6.70%;-7.18%
2023-02-27;"8987";APV1;"3.20%";-2.42%;"0.17%";-6.70%;-7.18%
2023-02-28;"8987";APV1;"3.81%";-1.84%;"0.77%";-6.14%;-6.63%
2023-03-01;"8987";APV1;"10.46%";"5.18%";-0.90%;-7.81%;-5.52%
2023-03-02;"8987";APV1;"12.64%";"3.36%";-4.72%;-6.03%;-6.87%
2023-03-03;"8987";APV1;"6.79%";-0.10%;-7.90%;-10.45%;-9.97%
2023-03-04;"8987";APV1;"6.79%";-0.09%;-7.89%;-12.08%;-9.96%
2023-03-05;"8987";APV1;"6.79%";-0.09%;-7.89%;-12.09%;-9.96%
2023-03-06;"8987";APV1;"6.79%";-3.24%;-8.72%;-12.09%;-9.96%
2023-03-07;"8987";APV1;"13.15%";-0.79%;-2.76%;-9.40%;-7.20%
2023-03-08;"8987";APV1;"10.24%";-1.04%;-1.82%;-10.96%;-7.42%
2023-03-09;"8987";APV1;"12.19%";"2.55%";"5.06%";-2.49%;-4.07%
2023-03-10;"8987";APV1;"15.21%";"5.03%";"7.61%";-1.09%;-1.74%
2023-03-11;"8987";APV1;"15.21%";"5.04%";"7.62%";-3.74%;-1.73%
2023-03-12;"8987";APV1;"15.21%";"5.04%";"7.62%";-3.75%;-1.73%
2023-03-13;"8987";APV1;"15.21%";"6.47%";-1.94%;-3.75%;-1.73%
2023-03-14;"8987";APV1;"11.20%";"1.53%";-4.44%;-7.15%;-5.20%
2023-03-15;"8987";APV1;"12.37%";-3.12%;-6.19%;-2.08%;-4.67%
2023-03-16;"8987";APV1;"4.95%";-8.79%;-9.70%;-1.18%;-8.22%
2023-03-17;"8987";APV1;"6.33%";-7.14%;-8.05%;"3.12%";-6.55%
2023-03-18;"8987";APV1;"6.33%";-7.13%;-8.04%;"5.86%";-6.54%
2023-03-19;"8987";APV1;"6.33%";-7.13%;-8.04%;"5.85%";-6.54%
2023-03-20;"8987";APV1;"6.33%";-7.04%;-8.04%;"5.85%";-6.54%
2023-03-21;"8987";APV1;-0.58%;-6.78%;-13.60%;"3.06%";-9.00%
2023-03-22;"8987";APV1;"2.09%";-7.06%;-12.13%;"8.99%";-6.30%
2023-03-23;"8987";APV1;"2.23%";-7.02%;-16.03%;"5.19%";-7.27%
2023-03-24;"8987";APV1;-1.05%;-7.92%;-16.85%;"7.31%";-8.16%
2023-03-25;"8987";APV1;-1.05%;-7.91%;-16.84%;"8.16%";-8.15%
2023-03-26;"8987";APV1;-1.05%;-7.91%;-16.84%;"8.15%";-8.15%
2023-03-27;"8987";APV1;-1.05%;-9.00%;-17.14%;"8.15%";-8.15%
2023-03-28;"8987";APV1;-0.98%;-10.49%;-13.62%;"8.87%";-7.54%
2023-03-29;"8987";APV1;-3.66%;-9.76%;-19.60%;"8.33%";-10.05%
2023-03-30;"8987";APV1;-4.82%;-11.12%;-23.29%;"5.65%";-11.12%
2023-03-31;"8987";APV1;-7.47%;-13.61%;-25.43%;-0.65%;-13.60%
2023-04-01;"8987";APV1;-8.55%;-13.60%;-25.43%;-0.10%;-13.59%
2023-04-02;"8987";APV1;-7.22%;-13.60%;-25.43%;-0.11%;-13.59%
2023-04-03;"8987";APV1;-4.02%;-13.60%;-25.43%;-0.11%;-13.59%
2023-04-04;"8987";APV1;-3.28%;-11.99%;-20.35%;"0.67%";-12.92%
2023-04-05;"8987";APV1;-2.75%;-13.60%;-20.13%;-1.55%;-12.44%
2023-04-06;"8987";APV1;-3.73%;-10.61%;-22.45%;-4.93%;-13.32%
2023-04-07;"8987";APV1;-6.58%;-10.61%;-27.00%;-4.17%;-13.31%
2023-04-08;"8987";APV1;-6.36%;-10.61%;-27.01%;-5.13%;-13.31%
2023-04-09;"8987";APV1;-9.63%;-10.61%;-27.01%;-5.14%;-13.31%
2023-04-10;"8987";APV1;-11.78%;-9.38%;-27.01%;-5.14%;-13.31%
2023-04-11;"8987";APV1;-11.40%;-6.57%;-26.68%;-4.72%;-12.93%
2023-04-12;"8987";APV1;-10.63%;-5.04%;-26.35%;-4.60%;-12.17%
2023-04-13;"8987";APV1;-13.36%;-7.05%;-24.76%;-5.30%;-14.86%
2023-04-14;"8987";APV1;-9.97%;-6.83%;-28.01%;-7.80%;-14.65%
2023-04-15;"8987";APV1;-10.46%;-6.83%;-28.01%;-7.80%;-14.64%
2023-04-16;"8987";APV1;-6.99%;-6.83%;-28.01%;-7.80%;-14.64%
2023-04-17;"8987";APV1;-8.66%;-7.17%;-28.01%;-7.80%;-14.64%
2023-04-18;"8987";APV1;-8.83%;-10.20%;-26.66%;-7.96%;-14.79%
2023-04-19;"8987";APV1;-8.89%;-11.44%;-27.47%;-4.96%;-14.85%
2023-04-20;"8987";APV1;-7.66%;-6.71%;-27.47%;-4.53%;-13.70%
2023-04-21;"8987";APV1;-5.41%;-6.96%;-24.19%;-7.45%;-13.92%
2023-04-22;"8987";APV1;-8.13%;-6.95%;-24.19%;-12.49%;-13.92%
2023-04-23;"8987";APV1;-7.17%;-6.95%;-24.19%;-12.50%;-13.92%
2023-04-24;"8987";APV1;-6.26%;-7.05%;-24.19%;-12.50%;-13.92%
2023-04-25;"8987";APV1;-3.34%;-4.33%;-19.45%;-9.75%;-11.22%
2023-04-26;"8987";APV1;-3.02%;-1.70%;-20.96%;-15.05%;-10.93%
2023-04-27;"8987";APV1;-7.05%;-5.08%;-25.68%;-18.28%;-14.63%
2023-04-28;"8987";APV1;-9.07%;-6.53%;-22.95%;-14.91%;-15.93%
2023-04-29;"8987";APV1;-6.53%;-6.52%;-22.95%;-21.49%;-15.92%
2023-04-30;"8987";APV1;-5.39%;-6.52%;-22.95%;-21.50%;-15.92%
2023-05-01;"8987";APV1;-2.69%;-1.70%;-22.95%;-21.50%;-15.92%
2023-05-02;"8987";APV1;-2.69%;"1.70%";-22.95%;-21.50%;-15.92%
2023-05-03;"8987";APV1;-1.23%;"1.23%";-23.90%;-19.82%;-14.66%
2023-05-04;"8987";APV1;-0.61%;"2.65%";-20.80%;-13.59%;-13.45%
2023-05-05;"8987";APV1;-4.86%;-1.20%;-23.78%;-23.08%;-16.70%
2023-05-06;"8987";APV1;-3.89%;-1.19%;-23.77%;-23.81%;-16.69%
2023-05-07;"8987";APV1;-3.90%;"1.58%";-23.77%;-23.82%;-16.69%
2023-05-08;"8987";APV1;-3.90%;-0.79%;-22.98%;-23.82%;-16.69%
2023-05-09;"8987";APV1;-2.91%;-1.57%;-25.60%;-23.04%;-15.84%
2023-05-10;"8987";APV1;-4.09%;-2.51%;-17.93%;-23.39%;-16.85%
2023-05-11;"8987";APV1;-4.49%;-2.50%;-16.23%;-26.28%;-16.84%
2023-05-12;"8987";APV1;-4.86%;-2.03%;-15.83%;-26.27%;-16.44%
2023-05-13;"8987";APV1;-1.85%;-2.02%;-15.83%;-22.60%;-16.43%
2023-05-14;"8987";APV1;-2.09%;-1.98%;-15.83%;-22.61%;-16.43%
2023-05-15;"8987";APV1;-2.10%;-1.49%;-14.38%;-22.61%;-16.43%
2023-05-16;"8987";APV1;-1.38%;-3.74%;-15.11%;-22.04%;-15.82%
2023-05-17;"8987";APV1;-3.80%;-6.58%;-17.45%;-20.96%;-17.89%
2023-05-18;"8987";APV1;-5.53%;-8.42%;-18.53%;-28.82%;-19.50%
2023-05-19;"8987";APV1;-5.23%;-8.19%;-18.33%;-29.80%;-19.30%
2023-05-20;"8987";APV1;-6.48%;-8.18%;-18.32%;-29.77%;-19.29%
2023-05-21;"8987";APV1;-6.23%;-11.82%;-18.32%;-29.78%;-19.29%
2023-05-22;"8987";APV1;-6.24%;-12.06%;-16.12%;-29.78%;-19.29%
2023-05-23;"8987";APV1;-4.16%;-9.04%;-13.02%;-28.22%;-17.49%
2023-05-24;"8987";APV1;-3.02%;-10.05%;-12.00%;-28.80%;-16.52%
2023-05-25;"8987";APV1;-8.14%;-12.14%;-14.26%;-29.15%;-18.45%
2023-05-26;"8987";APV1;-11.11%;-14.70%;-16.77%;-28.42%;-20.83%
2023-05-27;"8987";APV1;-7.25%;-14.69%;-16.76%;-24.74%;-20.82%
2023-05-28;"8987";APV1;-5.82%;-15.20%;-16.76%;-24.75%;-20.82%
2023-05-29;"8987";APV1;-5.83%;-15.20%;-17.31%;-24.75%;-20.82%
2023-05-30;"8987";APV1;-5.97%;-15.33%;-11.74%;-24.86%;-20.94%
2023-05-31;"8987";APV1;-5.03%;-14.48%;-10.86%;-24.75%;-20.14%
2023-06-01;"8987";APV1;-7.03%;-17.27%;-12.98%;-27.30%;-21.83%
2023-06-02;"8987";APV1;-9.20%;-18.02%;-15.27%;-26.24%;-23.66%
2023-06-03;"8987";APV1;-10.53%;-15.19%;-15.27%;-28.97%;-23.65%
2023-06-04;"8987";APV1;-11.78%;-15.20%;-15.27%;-28.97%;-23.65%
2023-06-05;"8987";APV1;-8.34%;-15.20%;-15.27%;-28.97%;-23.65%
2023-06-06;"8987";APV1;-8.53%;-15.36%;-18.10%;-29.11%;-23.79%
2023-06-07;"8987";APV1;-7.02%;-16.52%;-17.18%;-26.68%;-22.54%
2023-06-08;"8987";APV1;-8.57%;-17.72%;-18.58%;-29.26%;-23.83%
2023-06-09;"8987";APV1;-9.93%;-20.97%;-18.96%;-32.96%;-24.19%
2023-06-10;"8987";APV1;-8.82%;-22.84%;-18.96%;-36.94%;-24.18%
2023-06-11;"8987";APV1;-8.83%;-22.85%;-18.96%;-36.95%;-24.18%
2023-06-12;"8987";APV1;-9.27%;-22.85%;-18.96%;-36.95%;-24.18%
2023-06-13;"8987";APV1;-10.29%;-23.71%;-18.78%;-37.65%;-25.03%
2023-06-14;"8987";APV1;-10.68%;-21.26%;-20.05%;-38.21%;-25.35%
2023-06-15;"8987";APV1;-12.86%;-23.62%;-26.00%;-37.65%;-27.18%
2023-06-16;"8987";APV1;-12.68%;-19.91%;-26.96%;-40.90%;-26.50%
2023-06-17;"8987";APV1;-10.48%;-21.34%;-26.96%;-40.53%;-26.49%
2023-06-18;"8987";APV1;-8.68%;-21.35%;-26.96%;-40.54%;-26.49%
2023-06-19;"8987";APV1;-8.91%;-21.35%;-26.96%;-40.54%;-26.49%
2023-06-20;"8987";APV1;-8.40%;-20.90%;-26.46%;-40.19%;-26.07%
2023-06-21;"8987";APV1;-8.39%;-18.75%;-24.25%;-40.19%;-26.06%
2023-06-22;"8987";APV1;-8.39%;-21.09%;-26.66%;-40.19%;-26.06%
2023-06-23;"8987";APV1;-9.04%;-19.07%;-24.75%;-37.98%;-24.95%
2023-06-24;"8987";APV1;-10.10%;-18.28%;-24.75%;-34.11%;-24.95%
2023-06-25;"8987";APV1;-7.97%;-18.28%;-24.75%;-34.12%;-24.95%
2023-06-26;"8987";APV1;-5.20%;-18.28%;-24.75%;-34.12%;-24.95%
2023-06-27;"8987";APV1;-5.21%;-18.28%;-25.64%;-34.12%;-24.95%
2023-06-28;"8987";APV1;-5.24%;-18.85%;-27.36%;-34.14%;-24.97%
2023-06-29;"8987";APV1;-5.86%;-17.14%;-25.23%;-34.42%;-25.46%
2023-06-30;"8987";APV1;-8.16%;-18.30%;-27.39%;-37.33%;-27.39%
2023-07-01;"8987";APV1;-7.10%;-15.95%;-27.39%;-36.08%;-27.38%
2023-07-02;"8987";APV1;-4.88%;-15.95%;-27.39%;-36.09%;-27.38%
2023-07-03;"8987";APV1;-4.88%;-15.95%;-27.39%;-36.09%;-27.38%
2023-07-04;"8987";APV1;-4.88%;-16.60%;-26.59%;-36.08%;-27.37%
2023-07-05;"8987";APV1;-4.71%;-16.90%;-28.21%;-35.31%;-27.24%
2023-07-06;"8987";APV1;-2.97%;-14.70%;-23.75%;-33.69%;-26.06%
2023-07-07;"8987";APV1;-3.65%;-13.90%;-23.04%;-31.02%;-25.36%
2023-07-08;"8987";APV1;-2.00%;-13.89%;-23.03%;-30.99%;-25.35%
2023-07-09;"8987";APV1;-1.53%;-13.89%;-23.03%;-31.00%;-25.35%
2023-07-10;"8987";APV1;-1.54%;-13.89%;-21.96%;-31.00%;-25.35%
2023-07-11;"8987";APV1;-2.56%;-15.16%;-20.73%;-31.71%;-26.13%
2023-07-12;"8987";APV1;-4.22%;-17.32%;-21.49%;-34.22%;-27.39%
2023-07-13;"8987";APV1;-5.06%;-16.41%;-22.30%;-36.06%;-28.83%
2023-07-14;"8987";APV1;-4.84%;-16.77%;-22.46%;-36.27%;-28.96%
2023-07-15;"8987";APV1;-2.44%;-16.77%;-22.45%;-33.79%;-28.95%
2023-07-16;"8987";APV1;-3.34%;-16.77%;-22.45%;-33.79%;-28.95%
2023-07-17;"8987";APV1;-3.35%;-16.77%;-22.73%;-33.79%;-28.95%
